Brand,Perfume,Gender,Rating Value,Rating Count,Year,Main Accords,Top,Middle,Base,Perfumer1,url
Sultan Pasha Attars,Dewaniya,unisex,91,41,2017.0,"['Amber', 'Warm Spicy', 'Woody', 'Sweet', 'Aromatic']","['Olibanum', 'Tagetes', 'Marigold', 'Saffron', 'Rose', 'Absinthe']","['Honey', 'Cambodian Oud', 'Tobacco', 'Damask Rose', 'Cacao Pod', 'Osmanthus', 'Black Tea', 'Coffee', 'Jasmine']","['Olibanum', 'Agarwood (Oud)', 'Myrrh', 'Tobacco', 'Cypriol Oil Or Nagarmotha', 'Amber', 'Hay', 'Immortelle', 'Sandalwood', 'Labdanum', 'Castoreum', 'Cade Oil', 'Siam Benzoin', 'Ambergris', 'Civet', 'Tonka Bean', 'Cedar', 'Leather', 'Musk']",,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Dewaniya-51329.html
Sultan Pasha Attars,Encens Chypre,unisex,92,52,2014.0,"['Amber', 'Aromatic', 'Woody', 'Balsamic', 'Citrus']","['Elemi', 'Peach', 'Lime', 'Bergamot', 'Artemisia', 'Jasmine Sambac', 'Clary Sage']","['Peach', 'Orris', 'Jasmine', 'Rose Geranium', 'Ylang-Ylang', 'Carnation', 'Damask Rose']","['Incense', 'Oakmoss', 'Civet', 'Siam Benzoin', 'Palisander Rosewood', 'Castoreum', 'Black Amber', 'Tolu Balsam', 'Agarwood (Oud)', 'Tobacco', 'Musk']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Encens-Chypre-43220.html
Sultan Pasha Attars,Ensar Rose,unisex,85,53,2015.0,"['Rose', 'Woody', 'Amber', 'Oud', 'Honey']","['Rose', 'Madagascar Vanilla']","['Bulgarian Rose', 'Honey', 'Tuberose', 'Haitian Vetiver']","['Sandalwood', 'Indian Oud', 'Amber', 'Ambergris']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Ensar-Rose-43221.html
Sultan Pasha Attars,Equilibre,unisex,89,18,2018.0,"['Citrus', 'Amber', 'White Floral', 'Animalic', 'Powdery']","['Bergamot', 'Neroli', 'Blood Orange', 'Lemon', 'Violet']","['Orange Blossom', 'Jasmine', 'Rose']","['Agarwood (Oud)', 'Ambergris', 'Amber', 'Mimosa', 'Sandalowood', 'Siam Benzoin', 'Vetiver', 'Civet', 'Ambrette (Musk Mallow)', 'Musk', 'Opoponax', 'Honey']",,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Equilibre-51331.html
Sultan Pasha Attars,Etude en Fougere,unisex,90,27,2018.0,"['Woody', 'Aromatic', 'Fresh Spicy', 'Citrus', 'Floral']","['Calabrian Bergamot', 'Lavender', 'Lemon', 'Nutmeg', 'Geranium']","['Lavender', 'Elemi', 'Pine', 'Siberian Pine', 'Carnation', 'Geranium', 'Cyclamen', 'Rose', 'Jasmine', 'Tobacco']","['Iso E Super', 'Oakmoss', 'Coumarin', 'Vetiver', 'Cedar', 'Musk', 'Amber', 'Sandalwood', 'Patchouli', 'Cinnamon', 'Tonka Bean']",,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Etude-en-Fougere-51338.html
Sultan Pasha Attars,Fougere du Paradis,unisex,100,1,2016.0,"['Amber', 'Aromatic', 'Citrus', 'Oud', 'Lavender']","['Lavender', 'Clary Sage', 'Elemi', 'Lemon', 'Lime']","['Jasmine', 'Tonka Bean']","['White Oud', 'Ambergris', 'Siam Benzoin', 'Castoreum']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Fougere-du-Paradis-43222.html
Sultan Pasha Attars,Fougere Noire,men,90,31,2018.0,"['Aromatic', 'Woody', 'Earthy', 'Mossy', 'Fresh Spicy']","['Pine', 'Elemi', 'Lavender', 'Clary Sage', 'Calabrian Bergamot', 'Geranium', 'Seaweed', 'Coffee', 'Lemon', 'Nutmeg']","['Oakmoss', 'Pine', 'Siberian Pine', 'Elemi', 'Mushroom', 'Lavender', 'Geranium', 'Seaweed', 'Tobacco', 'Coffee', 'Balsam Fir', 'Cyclamen', 'Damask Rose', 'Jasmine', 'Carnation']","['Oakmoss', 'Mushroom', 'Seaweed', 'Tonka Bean', 'Musk', 'Amber', 'Civet', 'Castoreum', 'Ambergris', 'Coumarin', 'Iso E Super', 'Bourbon Vetiver', 'Cedar', 'Sandalwood', 'Patchouli']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Fougere-Noire-53074.html
Sultan Pasha Attars,Hindi Oud Nasha,unisex,91,16,2022.0,"['Oud', 'Powdery', 'Musky', 'Iris', 'Amber']","['Rosa Alba', 'Bulgarian Rose', 'Hops']","['Orris', 'Rose De Mai', 'Rose', 'Hops', 'Violet Leaf', 'Mimosa Absolute']","['Agarwood (Oud)', 'Musk', 'Orris', 'Siam Benzoin', 'Valerian', 'Ambergris', 'Black Amber', 'Himalayan Cedar']",,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Hindi-Oud-Nasha-72366.html
Sultan Pasha Attars,Incense Royale,unisex,91,23,2012.0,"['Woody', 'Amber', 'Warm Spicy', 'Balsamic', 'Oud']",[],[],[],Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Incense-Royale-43223.html
Sultan Pasha Attars,Inferno,unisex,77,6,2015.0,"['Amber', 'Musky', 'Citrus', 'Woody', 'Animalic']","['Bergamot', 'Amalfi Lemon', 'Lime']","['Lavender', 'Damask Rose', 'Black Currant', 'Neroli', 'Jasmine', 'Black Pepper', 'Tonka Bean']","['Tobacco', 'Patchouli', 'Incense', 'Thailand Oud', 'Musk', 'Oakmoss', 'Labdanum', 'Siam Benzoin', 'Resins', 'Hyrax', 'Castoreum', 'Ambergris', 'Civet', 'Spicy Notes', 'Kephalis']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Inferno-43224.html
